folio,foliohog,id_calefac,calef_tipo,calef_otro,calef_dia,calef_hor,calef_min,calef_adqu,calef_anio
28,1,1,1, ,10,03,00,1,09
39,1,1,2, ,30,08,00,1,01
57,1,1,3, ,6,01,00,1,10
58,1,1,3, ,30,04,00,1,04
68,1,1,1, ,60,03,00,1,01
70,1,1,3, ,20,04,00,1,02
70,1,2,2, ,5,10,00,1,01
98,1,1,2, ,20,04,00,1,01
99,1,1,3, ,40,08,00,1,02
100,1,1,3, ,15,02,00,1,15
105,1,1,4, ,5,02,00,1,04
111,1,1,4, ,30,01,00,1,10
122,1,1,1, ,1,01,00,1,02
132,1,1,2, ,60,02,00,1,01
161,1,1,1, ,90,04,00,1,08
161,1,2,1, ,90,04,00,1,08
195,1,1,2, ,60,08,00,1,02
197,1,1,2, ,60,06,00,1,10
207,1,1,3, ,30,02,00,1,02
264,1,1,2, ,30,08,00,1,01
281,1,1,2, ,60,01,00,1,01
309,1,1,2, ,60,08,00,2,06
313,1,1,3, ,60,08,00,2,02
313,1,2,3, ,60,04,00,2,02
314,1,1,3, ,20,01,00,1,03
363,1,1,1, ,30,02,00,1,05
418,1,1,1, ,15,00,30,1,01
426,1,1,2, ,60,02,00,1,01
457,1,1,2, ,8,02,00,1,01
490,1,1,3, ,6,02,00,1,06
497,1,1,1, ,70,03,00,1,08
502,1,1,4, ,2,07,00,1,03
534,1,1,4, ,4,01,00,1,01
550,1,1,2, ,8,08,00,1,08
589,1,1,4, ,30,02,00,1,04
593,1,1,2, ,30,02,00,1,04
623,1,1,2, ,30,04,00,2,01
670,1,1,1, ,2,03,00,1,03
676,1,1,3, ,6,01,00,1,03
688,1,1,3, ,7,01,00,1,03
706,1,1,1, ,15,02,00,1,01
706,1,2,3, ,30,02,00,1,02
750,1,1,5,PORTATIL,30,03,00,1,01
765,1,1,4, ,30,01,00,1,07
767,1,1,3, ,20,01,00,1,02
797,1,1,1, ,30,01,00,1,05
827,1,1,1, ,1,05,00,1,05
837,1,1,2, ,15,06,00,2,99
857,1,1,3, ,30,08,00,1,02
858,1,2,3, ,30,01,00,1,05
858,1,1,1, ,30,00,30,1,05
861,1,1,1, ,15,01,00,1,02
871,1,1,3, ,30,05,00,1,01
879,1,1,1, ,60,12,00,1,05
881,1,1,2, ,30,01,00,1,01
882,1,1,3, ,30,00,30,1,01
883,1,1,2, ,10,02,00,1,01
932,1,1,2, ,30,01,00,1,04
933,1,1,2, ,20,00,30,1,01
973,1,1,4, ,15,02,00,1,01
975,1,1,1, ,30,03,00,1,02
991,1,1,3, ,30,01,00,1,01
998,1,1,3, ,2,01,00,2,02
1006,1,1,3, ,60,01,00,1,03
1009,1,1,1, ,30,06,00,1,01
1034,1,1,1, ,30,07,00,1,02
1054,1,1,3, ,90,01,00,1,05
1055,1,1,2, ,90,04,00,1,08
1114,1,1,2, ,60,01,00,1,03
1124,1,1,4, ,15,02,00,1,02
1141,1,2,2, ,60,03,00,1,02
1141,1,1,1, ,60,03,00,1,03
1156,1,1,1, ,15,02,00,1,01
1157,1,1,3, ,20,02,00,2,02
1160,1,1,3, ,45,12,00,1,01
1161,1,1,2, ,30,01,00,1,07
1171,1,1,3, ,4,04,00,1,02
1181,1,1,1, ,30,12,00,1,05
1221,1,1,4, ,90,06,00,2,03
1224,1,1,2, ,7,06,00,1,01
1225,1,1,2, ,7,02,00,1,02
1234,1,1,2, ,90,02,00,1,06
1244,1,1,2, ,2,06,00,1,06
1247,1,1,2, ,90,03,00,2,08
1253,1,1,2, ,7,03,00,1,01
1256,1,1,1, ,90,01,00,1,08
1269,1,1,1, ,2,00,02,1,08
1277,1,1,3, ,30,02,00,2,01
1280,1,1,1, ,90,02,00,1,02
1288,1,1,2, ,2,01,00,2,04
1306,1,1,3, ,30,99,99,1,01
1340,1,1,3, ,30,02,00,1,04
1358,1,1,3, ,30,00,30,2,03
1372,1,1,2, ,3,03,00,1,02
1373,1,1,4, ,36,03,00,1,08
1375,1,1,1, ,15,04,00,2,02
1377,1,1,1, ,15,12,00,1,01
1396,1,1,3, ,7,04,00,1,01
1403,1,1,2, ,30,01,30,1,08
1421,1,1,3, ,14,00,30,1,10
1428,1,1,3, ,20,03,00,1,03
1449,1,1,4, ,20,00,30,1,02
1521,1,1,2, ,30,04,00,1,03
1532,1,1,1, ,8,04,00,2,01
1533,1,1,5,MINI SPLIT,12,03,00,1,01
1546,1,1,2, ,15,04,00,2,01
1559,1,1,2, ,15,01,00,2,01
1563,1,1,3, ,30,02,00,2,04
1564,1,1,2, ,22,03,00,1,03
1565,1,1,2, ,60,03,00,1,03
1565,1,2,2, ,60,02,30,1,03
1569,1,1,2, ,24,00,15,1,02
1595,1,1,2, ,1,01,00,2,01
1607,1,1,3, ,30,00,20,1,05
1724,1,1,4, ,30,02,00,1,10
1726,1,1,4, ,30,06,00,1,01
1727,1,1,2, ,16,02,00,1,06
1746,1,1,2, ,12,05,00,2,01
1747,1,1,2, ,7,00,30,1,04
1842,1,2,1, ,3,04,00,1,03
1842,1,1,1, ,3,04,00,1,06
1896,1,1,1, ,60,08,00,1,01
1984,1,1,1, ,120,05,00,1,02
2301,1,1,1, ,20,01,00,1,10
2437,1,1,2, ,90,08,00,1,03
3212,1,1,2, ,30,00,30,1,20
3540,1,1,4, ,60,04,00,2,02
3541,1,2,4, ,90,12,00,1,05
3541,1,1,4, ,3,12,00,1,05
3542,1,1,4, ,60,02,00,1,05
3543,1,1,4, ,90,02,00,1,02
3559,1,1,5,MINISPLIT,120,10,00,1,02
3560,1,1,5,UTILIZO UN MINISPLIT ENCENDIDO Y APAGADO NO LO UTILLIZO PARA AIRE ACONDICIONADO,90,24,00,1,01
3561,1,2,5,MINISPLIT INVERTER,90,03,00,1,04
3561,1,4,4, ,90,01,00,1,02
3561,1,3,5,MINISPLIT INVERTER,90,03,00,1,04
3561,1,1,5,MINISPLIT INVERTER,90,03,00,1,04
3562,1,4,5,MINISPLIT INVERTER,24,02,00,1,02
3562,1,3,4, ,14,02,00,1,07
3562,1,2,4, ,120,00,20,1,09
3562,1,1,4, ,30,03,00,1,09
3564,1,1,2, ,120,00,30,1,08
3568,1,2,5,MINISPLIT INVERTER,120,06,00,1,02
3568,1,1,5,MINISPLIT INVERTER,120,03,00,1,04
3569,1,1,5,DE LEÑA,60,06,00,2,02
3569,1,2,5,MINISPLI  DE ENCENDIDO Y APAGADO,20,08,00,1,01
3570,1,2,5,MINISPLIT PAGADO Y ENCENDIDO,90,05,00,1,01
3570,1,1,5,MINISPLIT APAGADOY ENCENDIDO,90,08,00,1,03
3571,1,1,5,CALEACTOR DE LE?A,30,24,00,1,02
3572,1,1,4, ,60,04,00,1,10
3575,1,1,5,CON LE?A,90,05,00,2,01
3577,1,1,1, ,30,12,00,1,12
3578,1,1,4, ,10,02,00,2,01
3579,1,1,4, ,60,01,00,1,09
3580,1,1,2, ,60,03,00,1,02
3581,1,1,4, ,120,05,00,1,04
3584,1,1,4, ,60,01,00,1,15
3588,1,1,4, ,90,02,00,1,01
3589,1,4,5,MINISPLIT ENCENDIDO-APAGADO,30,02,00,1,01
3589,1,3,5,MINISPLIT ENCENDIDO-APAGADO,10,00,30,1,02
3589,1,2,4, ,60,03,00,1,03
3589,1,1,4, ,60,03,00,1,04
3593,1,1,2, ,90,02,00,1,10
3597,1,1,4, ,60,02,00,1,03
3598,1,1,4, ,60,07,00,1,03
3599,1,1,4, ,60,08,00,1,08
3599,1,2,5,MINISPLIT,30,10,00,1,05
3600,1,1,4, ,60,04,00,1,08
3602,1,1,1, ,30,02,00,1,05
3602,1,2,1, ,30,02,00,1,05
3603,1,2,5,MINISPLIT ENCENDIDO APAGADO,5,01,00,1,07
3603,1,1,5,MINISPLIT INVERTER,20,02,00,1,02
3604,1,2,5,MINISPLIN INTERVER,30,01,00,1,06
3604,1,1,5,MINISPLIN INVERTER,30,01,00,1,04
3605,1,1,1, ,60,01,00,1,10
3606,1,1,2, ,70,03,00,2,01
3607,1,2,5,MINISPLIT,50,05,00,1,07
3607,1,1,4, ,50,04,00,1,06
3607,1,3,5,MINISPLIT,50,05,00,1,07
3607,1,4,5,MINISPLIT,50,05,00,1,07
3608,1,1,4, ,30,03,00,1,36
3610,1,1,4, ,30,04,00,1,03
3610,1,2,5,MINISPLIT,30,08,00,1,07
3610,1,3,5,MINISPLIT,30,08,00,1,07
3611,1,1,4, ,10,03,00,1,07
3612,1,4,5,MINISPLIT,1,04,00,1,04
3612,1,3,5,MINISPLIT,4,01,00,1,07
3612,1,2,5,MINISPLIT,4,05,00,1,04
3612,1,1,4, ,8,08,00,2,25
3614,1,2,5,MINISPLIT INVERTER,45,03,00,2,02
3614,1,1,5,MINISPLIT INVERTER,40,03,00,2,02
3614,1,3,5,MINISPLIT INVERTER,45,05,00,2,02
3614,1,4,5,MINISPLIT INVERTER,45,08,00,2,02
3615,1,1,2, ,120,08,00,1,02
3620,1,1,4, ,30,03,00,1,10
3621,1,1,4, ,90,02,00,1,02
3623,1,1,5,COMENTA INFORMANTE QUE USA EL MINISPLIT CON ENCENDIDO Y APAGADO,60,04,00,1,01
3623,1,3,5,USA EL MINISPLIT DE ENCENDIDO Y APAGADO PARA TEMPERATURA CALIENTE,60,04,00,1,01
3623,1,2,5,USA EL MINISPLIT CON ENCENDIDO Y APAGADO,60,04,00,1,01
3627,1,1,4, ,60,04,00,1,20
3630,1,1,4, ,50,03,00,1,05
3635,1,2,4, ,15,03,00,1,05
3635,1,1,4, ,15,02,00,1,05
3635,1,4,5,MINIPLIST ENCENDIDO PAGADO,15,01,30,1,03
3635,1,3,5,MINIPLIST ENCENDIDO Y APAGADO,15,01,30,1,03
3637,1,1,5,MINISPLIT,20,02,00,1,03
3639,1,1,4, ,30,00,40,1,03
3644,1,1,2, ,40,03,00,1,01
3645,1,1,2, ,90,01,30,1,05
3647,1,1,4, ,60,07,00,2,01
3648,1,1,5,MINISPLIT DE ENCENDIDO,60,01,00,1,01
3648,1,2,5,MINISPLIT DE ENCENDIDO,60,01,00,1,01
3649,1,1,4, ,90,12,00,1,08
3649,1,2,4, ,90,03,00,1,05
3650,1,1,1, ,90,04,00,1,06
3650,1,2,1, ,90,04,00,1,06
3651,1,1,5,CENTRAL,90,06,00,1,02
3652,1,1,4, ,60,06,00,1,02
3654,1,1,5,CENTRAL,90,04,00,1,04
3654,1,2,5,CENTRAL,90,03,00,1,04
3656,1,1,4, ,999,04,00,2,99
3658,1,1,2, ,30,02,00,2,99
3663,1,1,3, ,90,11,00,1,01
3666,1,1,2, ,60,03,00,1,01
3667,1,1,2, ,90,03,00,2,01
3668,1,1,4, ,40,05,00,1,08
3669,1,1,2, ,60,00,30,1,05
3673,1,1,4, ,60,04,00,1,02
3674,1,1,2, ,90,03,00,2,09
3675,1,2,2, ,60,01,00,1,01
3675,1,3,2, ,60,02,00,1,01
3675,1,1,4, ,60,03,00,2,01
3676,1,1,4, ,90,04,00,1,03
3680,1,1,2, ,12,02,00,1,02
3683,1,1,3, ,60,02,00,1,01
3688,1,2,4, ,30,02,00,1,12
3688,1,1,4, ,60,04,00,1,12
3689,1,2,3, ,60,04,00,1,03
3689,1,1,3, ,60,04,00,1,03
3691,1,2,4, ,60,02,00,1,03
3691,1,1,4, ,60,02,00,1,02
3697,1,1,4, ,15,03,00,2,05
3701,1,1,4, ,30,02,00,1,04
3701,1,2,5,MINISPLIT ENCENDIDO Y APAGADO,3,01,00,1,01
3704,1,1,1, ,60,03,00,1,06
3704,1,2,4, ,90,05,00,1,08
3704,1,3,4, ,90,04,00,1,02
3706,1,1,4, ,30,01,00,1,06
3710,1,1,4, ,20,05,00,1,12
3714,1,3,4, ,120,02,00,1,12
3714,1,2,4, ,120,02,00,1,08
3714,1,1,4, ,120,02,00,1,10
3715,1,2,5,MINISPLIT ENCENDIDO Y APAGADO,90,05,00,1,03
3715,1,1,5,MINISPLIT ENCENDIDO APAGADO,90,02,00,1,03
3716,1,1,4, ,30,12,00,1,01
3718,1,1,4, ,60,03,00,1,02
3720,1,1,4, ,60,00,20,2,05
3728,1,1,4, ,90,12,00,1,05
3728,1,2,4, ,60,12,00,1,05
3728,1,3,4, ,60,12,00,1,05
3729,1,1,5,MINISPLIT INVERTER,120,08,00,1,06
3730,1,1,4, ,20,00,30,1,15
3730,1,2,4, ,40,00,30,1,01
3731,1,1,4, ,30,02,00,1,07
3735,1,1,4, ,90,04,00,1,01
3736,1,1,2, ,20,02,00,1,06
3737,1,1,4, ,30,02,00,1,01
3738,1,1,4, ,60,00,40,1,04
3738,1,2,4, ,60,01,30,1,04
3739,1,2,4, ,20,05,00,1,10
3739,1,1,4, ,60,08,00,1,08
3741,1,1,4, ,30,04,00,1,04
3751,1,2,4, ,7,04,00,2,08
3751,1,1,1, ,3,03,00,1,05
3758,1,1,4, ,20,02,00,1,10
3763,1,1,2, ,30,05,00,1,03
3766,1,1,4, ,60,02,00,1,01
3767,1,1,4, ,60,01,00,1,05
3768,1,1,4, ,30,01,00,2,01
3774,1,1,4, ,60,05,00,2,10
3783,1,1,2, ,30,04,00,1,01
3785,1,1,4, ,120,02,00,1,08
3794,1,1,1, ,30,05,00,1,01
3798,1,1,4, ,90,04,00,1,03
3800,1,1,2, ,60,02,00,1,05
3802,1,1,4, ,60,02,00,1,05
3802,1,2,4, ,60,03,00,1,05
3804,1,1,2, ,30,06,00,1,02
3806,1,1,4, ,60,02,00,1,01
3816,1,1,1, ,90,00,30,1,01
3825,1,1,4, ,14,01,00,2,02
3839,1,1,4, ,30,00,30,1,06
3843,1,1,4, ,60,12,00,1,04
3844,1,2,4, ,120,05,00,1,01
3844,1,1,4, ,120,05,00,1,02
3846,1,1,2, ,20,01,00,2,03
3848,1,1,2, ,20,02,00,1,05
3849,1,1,4, ,30,24,00,1,09
3849,1,2,4, ,30,24,00,2,99
3850,1,1,1, ,4,01,00,1,01
3852,1,1,4, ,10,01,00,2,07
3856,1,1,2, ,15,03,00,1,03
3857,1,1,4, ,60,02,00,1,10
3857,1,2,4, ,60,02,00,1,02
3858,1,1,4, ,20,04,00,1,02
3863,1,1,4, ,50,01,00,1,04
3864,1,1,1, ,120,20,00,1,04
3864,1,2,4, ,120,06,00,1,01
3865,1,2,4, ,20,03,00,1,03
3865,1,1,1, ,10,03,00,2,10
3866,1,1,4, ,90,00,30,2,01
3867,1,1,2, ,24,06,00,1,05
3868,1,1,2, ,60,20,00,1,01
3872,1,1,2, ,15,01,00,1,06
3874,1,1,4, ,70,05,00,1,10
3876,1,1,2, ,15,03,00,2,03
3878,1,1,4, ,90,05,00,1,02
3879,1,1,5,MINISPLIT APAGADO ENCENDIDO,60,01,00,1,01
3880,1,1,2, ,60,24,00,1,01
3882,1,1,2, ,60,01,00,1,08
3884,1,1,2, ,60,05,00,1,01
3888,1,1,2, ,30,01,00,1,01
3889,1,1,2, ,30,01,00,1,01
3893,1,1,4, ,90,01,00,1,06
3894,1,1,2, ,4,01,00,1,03
3896,1,1,2, ,10,05,00,1,04
3897,1,1,4, ,60,02,00,1,01
3897,1,2,2, ,30,03,00,2,14
3900,1,1,2, ,30,08,00,1,01
3901,1,1,4, ,60,05,00,1,03
3905,1,1,4, ,90,03,00,1,07
3905,1,2,4, ,90,03,00,1,07
3907,1,1,4, ,30,05,00,1,02
3908,1,1,4, ,10,02,00,2,32
3911,1,1,4, ,30,02,00,1,01
3912,1,1,4, ,60,00,30,1,01
3913,1,1,4, ,5,03,00,2,01
3913,1,2,5,MINISPLI,5,00,40,2,01
3913,1,3,5,MINISPLIT,5,00,40,2,01
3913,1,4,5,MINISPLIT,5,00,40,1,01
3915,1,1,4, ,40,05,00,1,03
3916,1,1,4, ,20,04,00,2,02
3921,1,2,2, ,90,10,00,1,02
3921,1,1,2, ,90,10,00,1,02
3922,1,1,5,MINISPLIT,15,06,00,1,06
3922,1,2,5,MINISPLIT,15,06,00,1,06
3922,1,3,5,MINISPLIT,15,06,00,1,06
3922,1,4,5,MINISPLIT,15,06,00,1,06
3923,1,1,4, ,20,02,00,1,04
3924,1,1,3, ,60,08,00,1,01
3929,1,1,2, ,60,03,00,1,01
3933,1,1,4, ,30,02,00,1,01
3934,1,1,4, ,20,02,00,1,20
3936,1,1,3, ,60,12,00,1,03
3937,1,1,3, ,30,03,00,1,03
3941,1,1,4, ,15,01,00,2,02
3944,1,1,1, ,60,03,00,1,10
3944,1,3,1, ,60,03,00,1,10
3944,1,2,1, ,60,03,00,1,10
3957,1,1,2, ,30,06,00,1,03
3959,1,1,2, ,45,00,30,2,03
3960,1,1,4, ,30,02,00,2,03
3970,1,1,2, ,60,02,00,1,03
3974,1,1,5,MINISPLIT,120,03,00,1,02
3974,1,2,2, ,120,03,00,1,02
3974,1,3,2, ,60,03,00,1,99
3985,1,1,1, ,60,06,00,1,02
3989,1,1,2, ,30,02,00,1,01
3994,1,1,4, ,60,02,00,1,03
3998,1,1,1, ,10,12,00,1,01
4001,1,1,4, ,60,02,00,1,05
4001,1,2,4, ,60,00,30,1,01
4017,1,1,4, ,30,03,00,1,08
4018,1,1,2, ,60,03,00,1,20
4029,1,1,2, ,60,05,00,1,02
4036,1,1,2, ,30,01,00,1,02
4037,1,1,4, ,15,03,00,1,05
4040,1,1,2, ,30,06,00,2,22
4051,1,5,5,MINISPLIT,30,02,00,1,08
4051,1,4,5,MINISPLIT,30,02,00,1,08
4051,1,2,5,MINISPLIT,60,07,00,1,08
4051,1,1,5,MINISPLIT,60,07,00,1,08
4051,1,3,5,MINISPLIT,60,02,00,1,08
4052,1,2,4, ,30,03,00,1,04
4052,1,1,4, ,30,05,00,1,04
4057,1,1,4, ,30,02,00,1,10
4062,1,1,2, ,90,08,00,1,05
4065,1,1,3, ,12,10,00,2,04
4071,1,1,2, ,60,08,00,1,03
4083,1,1,2, ,90,05,00,1,04
4084,1,1,2, ,80,13,00,2,02
4102,1,2,2, ,120,04,00,1,02
4102,1,3,2, ,120,04,00,2,03
4102,1,1,1, ,120,04,00,2,03
4106,1,1,4, ,60,04,00,1,20
4112,1,1,5,MINISPLIT ENCENDIDO APAGADO,7,03,00,1,03
4113,1,1,5,MINISPLT ENCENDIDO APAGADO,15,02,00,1,02
4123,1,1,2, ,15,02,00,1,01
4124,1,2,2, ,90,08,00,1,03
4124,1,1,2, ,90,12,00,1,05
4128,1,1,2, ,30,05,00,2,30
4132,1,1,2, ,15,07,00,1,02
4140,1,1,2, ,60,06,00,2,02
4142,1,1,2, ,30,02,00,1,01
4154,1,1,4, ,45,02,00,1,04
4162,1,1,4, ,60,02,00,1,06
4165,1,1,4, ,30,02,00,1,01
4165,1,2,2, ,60,07,00,1,01
4169,1,1,4, ,75,02,00,1,03
4182,1,1,5,MINISPLIT,50,05,00,1,07
4182,1,2,4, ,50,05,00,1,01
4186,1,1,5,MINISPLIT ENCENDIDO APAGADO,90,03,00,1,06
4186,1,2,5,MINISPLIT ENCENDIDO APAGADO,90,03,00,1,06
4188,1,1,4, ,90,05,00,1,01
4200,1,2,2, ,60,03,00,1,03
4200,1,1,4, ,60,03,00,1,05
4207,1,1,2, ,30,04,00,1,03
4209,1,1,2, ,60,10,00,1,01
4210,1,1,2, ,30,01,00,1,02
4220,1,1,4, ,60,03,00,1,05
4221,1,1,4, ,90,01,00,1,01
4222,1,1,2, ,30,05,00,1,01
4226,1,1,4, ,30,03,00,1,08
4235,1,1,4, ,20,04,00,1,05
4237,1,1,4, ,30,05,00,1,02
4238,1,1,4, ,60,00,20,1,04
4241,1,1,5,MINISPLIT INVERTER,60,04,00,1,05
4245,1,2,5,MINI SPLIT INVERTER,120,24,00,1,01
4245,1,1,5,MINI SPLIT INVERTER,120,24,00,1,05
4246,1,1,2, ,90,01,00,1,01
4247,1,1,1, ,60,12,00,1,02
4249,1,1,1, ,60,02,00,1,07
4249,1,2,4, ,60,02,00,1,10
4250,1,1,4, ,60,10,00,1,04
4253,1,1,4, ,50,03,00,1,01
4254,1,1,4, ,20,02,00,2,01
4256,1,1,4, ,4,05,00,1,11
4262,1,1,2, ,15,05,00,2,01
4264,1,1,4, ,69,02,30,2,99
4265,1,1,4, ,4,02,00,1,08
4273,1,1,4, ,60,04,00,1,02
4277,1,1,4, ,30,03,00,1,05
4280,1,1,5,CALENTADOR DE LE?A,30,02,00,1,04
4281,1,1,4, ,30,08,00,1,10
4284,1,1,4, ,90,02,00,2,03
4284,1,2,5,MINISPLIT,90,01,00,1,03
4286,1,1,4, ,30,07,00,1,02
4294,1,1,2, ,2,02,00,1,10
4337,1,1,2, ,30,00,30,1,10
4374,1,1,2, ,60,03,00,2,30
4390,1,1,2, ,60,01,00,1,03
4392,1,1,2, ,10,01,00,2,03
5510,1,1,2, ,60,01,00,1,99
5528,1,1,3, ,60,00,30,1,01
6212,1,2,5,DE LEÑA,90,01,00,1,04
6212,1,1,4, ,90,01,00,1,06
6213,1,1,4, ,180,03,00,1,20
6213,1,2,5,DE DIESEL,180,04,00,1,45
6218,1,1,4, ,90,04,00,1,05
6220,1,2,4, ,120,03,00,2,10
6220,1,1,4, ,120,03,00,2,10
6225,1,1,5,CALENTON DE LE?A,150,12,00,1,01
6226,1,1,2, ,60,01,00,1,05
6226,1,3,4, ,90,04,00,1,06
6226,1,2,4, ,7,01,00,1,06
6227,1,1,2, ,60,02,00,1,01
6228,1,1,4, ,80,01,00,1,01
6229,1,1,5,CALENTON DE LEÑA,150,10,00,1,09
6230,1,1,4, ,70,05,00,1,03
6231,1,1,5,CALENTON DE LEÑA,90,02,00,2,10
6232,1,1,4, ,30,02,00,1,02
6233,1,2,5,CALENTON DE LEÑA,150,07,00,1,04
6233,1,1,4, ,120,03,00,1,06
6235,1,1,4, ,30,03,00,1,15
6235,1,2,4, ,60,05,00,1,04
6236,1,1,5,CALENTON DE LEÑA,60,12,00,2,02
6238,1,1,4, ,45,04,00,1,10
6239,1,1,2, ,45,02,00,1,03
6242,1,1,5,MINISPLIT,120,01,00,1,04
6243,1,2,4, ,120,04,00,2,02
6243,1,1,2, ,60,03,00,1,02
6248,1,1,4, ,30,05,00,1,05
6250,1,1,4, ,90,03,00,1,15
6251,1,1,5,CALENTON DE LE?A,90,02,00,1,99
6252,1,1,4, ,90,02,00,1,16
6257,1,2,4, ,90,04,00,1,05
6257,1,1,4, ,90,04,00,1,05
6258,1,1,2, ,90,05,00,2,03
6259,1,1,4, ,60,06,00,2,02
6260,1,1,4, ,120,05,00,2,05
6263,1,1,4, ,90,08,00,1,10
6264,1,1,5,CALENTON DE LE?A,90,04,00,1,04
6265,1,1,4, ,45,04,00,1,05
6266,1,1,4, ,60,04,00,1,04
6267,1,1,5,CALENTON DE LE?A,90,06,00,2,05
6268,1,1,5,CALENTON DE LE?A,20,05,00,1,10
6269,1,1,5,CALENTON DE LE?A,30,04,00,1,01
6270,1,2,4, ,60,06,00,1,07
6270,1,1,4, ,60,04,00,1,07
6272,1,1,4, ,90,08,00,1,05
6272,1,2,4, ,90,05,00,1,05
6273,1,1,5,CALDERAV DIESEL,120,12,00,1,10
6274,1,1,5,CALEFACCION CENTRAL,105,24,00,1,08
6275,1,2,5,CALEFACCION CENTRAL,180,24,00,2,20
6275,1,1,5,CALEFACCION CENTRAL,150,24,00,2,20
6276,1,1,4, ,21,04,00,2,03
6277,1,1,5,CALENTON DE LEÑA,30,04,00,1,03
6280,1,1,3, ,40,02,00,1,01
6280,1,2,4, ,50,03,00,1,01
6281,1,1,2, ,60,02,00,2,01
6282,1,1,5,ESTUFA DE LEÑA LA USA PARA CALENTARSE,60,05,00,1,02
6283,1,1,2, ,60,00,15,1,05
6288,1,1,2, ,120,24,00,2,06
6291,1,1,2, ,2,10,00,1,05
6292,1,1,3, ,90,01,00,2,03
6293,1,1,1, ,8,00,30,1,05
6294,1,1,4, ,60,08,00,1,04
6299,1,1,4, ,90,01,00,1,13
6300,1,2,5,MINISPLET,120,05,00,1,01
6300,1,1,4, ,120,24,00,1,10
6302,1,1,4, ,90,05,00,2,99
6303,1,1,4, ,2,05,00,2,30
6304,1,4,4, ,30,04,00,1,01
6304,1,3,4, ,120,08,00,1,05
6304,1,2,4, ,60,06,00,1,05
6304,1,1,1, ,60,03,00,1,05
6305,1,1,4, ,20,01,00,1,15
6306,1,1,5,CALEFACCION CENTRAL UTILIZA GAS Y ELECTRICIDAD,120,08,00,1,02
6307,1,1,4, ,60,04,00,1,01
6308,1,1,4, ,60,03,00,1,15
6308,1,2,4, ,60,04,00,1,10
6311,1,1,4, ,90,08,00,1,04
6312,1,1,5,CALENTON DE LEÑA,30,02,00,2,10
6313,1,1,4, ,30,04,00,2,99
6314,1,2,4, ,90,03,00,1,02
6314,1,1,4, ,120,04,00,1,05
6315,1,1,5,CALENTON LEÑA,60,04,00,1,12
6316,1,1,4, ,60,02,00,2,25
6316,1,2,4, ,90,04,00,1,15
6316,1,3,4, ,90,03,00,1,05
6317,1,2,4, ,60,05,00,1,05
6317,1,1,4, ,60,05,00,1,12
6319,1,1,4, ,120,05,00,1,09
6320,1,1,4, ,60,06,00,1,04
6322,1,1,4, ,60,04,00,1,08
6323,1,1,5,DE ACEITE 0 CERAMICA,60,06,00,1,06
6324,1,1,4, ,90,02,00,1,05
6329,1,1,5,CALENTON DE LE?A,30,04,00,1,17
6333,1,1,4, ,120,14,00,1,02
6333,1,2,4, ,120,14,00,1,02
6335,1,1,4, ,90,02,00,1,09
6339,1,1,4, ,80,05,00,2,01
6340,1,2,4, ,120,04,00,2,15
6340,1,1,4, ,120,05,00,2,15
6346,1,1,4, ,100,02,00,1,05
6347,1,1,4, ,30,02,00,1,40
6348,1,1,4, ,90,08,00,1,10
6351,1,1,4, ,90,03,00,1,08
6352,1,1,2, ,120,09,00,1,10
6353,1,1,4, ,60,06,00,1,06
6353,1,2,4, ,90,04,00,1,10
