folio,foliohog,id_calefac,calef_tipo,calef_otro,calef_dia,calef_hor,calef_min,calef_adqu,calef_anio
6354,1,1,2, ,60,04,00,2,02
6355,1,1,5,CALENTON DE LE?A,50,04,00,2,03
6356,1,1,4, ,60,02,00,1,06
6357,1,1,4, ,60,04,00,2,08
6359,1,1,5,CALEFACCION CENTRAL,30,02,00,1,08
6361,1,1,4, ,60,04,00,1,10
6362,1,1,2, ,75,00,45,1,05
6363,1,1,4, ,60,02,00,1,04
6364,1,1,4, ,60,02,00,1,10
6365,1,1,4, ,60,04,00,1,03
6366,1,1,5,CENTRAL,8,02,00,1,15
6367,1,2,4, ,15,02,00,1,10
6367,1,1,4, ,30,03,00,1,15
6368,1,1,4, ,10,01,00,1,08
6368,1,2,4, ,15,00,20,1,08
6370,1,1,4, ,120,02,00,1,98
6370,1,2,4, ,120,05,00,1,06
6370,1,3,4, ,90,03,00,1,02
6370,1,4,4, ,90,02,00,1,03
6373,1,1,5,CALENTADOR DE LE?A,60,02,00,1,03
6376,1,1,5,CALENTON DE LEÑA,150,12,00,2,25
6377,1,1,5,CALENTON DE LEÑA,12,03,00,1,06
6378,1,1,5,CALENTON DE LEÑA,30,03,00,2,99
6379,1,1,4, ,45,09,00,1,04
6382,1,1,5,CALENTON DE LE?A,20,05,00,1,10
6383,1,1,4, ,30,04,00,1,03
6385,1,1,5,CALENTON DE LE?A,6,04,00,2,03
6390,1,1,5,CHIMENEA DE LE?A,1,05,00,1,04
6391,1,1,5,CALENTON DE LEÑA,120,24,00,2,04
6392,1,1,4, ,60,03,00,1,05
6394,1,1,5,CALENTON DE LEÑA,60,05,00,1,04
6395,1,1,4, ,2,03,00,1,02
6396,1,1,5,CALENTON DE LEÑA,90,04,00,1,01
6397,1,1,4, ,90,12,00,2,12
6398,1,1,4, ,60,03,00,2,99
6399,1,1,5,CHIMENEA DE LEÑA,60,06,00,1,10
6400,1,1,5,CALENTON DE LEÑA,60,03,00,1,04
6401,1,1,4, ,60,03,00,1,04
6402,1,1,2, ,90,06,30,2,03
6403,1,2,4, ,120,02,00,1,12
6403,1,1,4, ,120,04,00,1,03
6405,1,1,5,CALENTON DE LEÑA,90,03,00,1,01
6407,1,1,4, ,90,04,00,1,10
6407,1,3,2, ,90,10,00,1,01
6407,1,2,4, ,90,02,00,1,10
6408,1,1,5,CALEFACCION CENTRAL DE GAS,120,05,00,1,03
6410,1,1,4, ,60,03,00,1,99
6411,1,2,4, ,120,02,00,1,10
6411,1,1,4, ,120,02,00,1,03
6412,1,2,4, ,60,03,00,1,02
6412,1,1,4, ,90,03,00,1,05
6413,1,1,5,CALENTON DE LE?A,90,06,00,1,03
6414,1,1,4, ,90,02,00,2,10
6414,1,2,4, ,90,03,00,1,05
6415,1,1,5,MINISPLIT,120,04,00,1,06
6418,1,1,5,CALENTON DE LEÑA,5,02,00,1,02
6419,1,2,5,CENTRAL,75,02,00,1,05
6419,1,1,5,CENTRAL,75,02,00,1,05
6420,1,1,4, ,30,02,00,1,05
6422,1,1,4, ,90,04,00,1,08
6424,1,1,2, ,60,02,00,2,03
6431,1,1,4, ,60,02,00,1,10
6431,1,2,5,LEÑA DE LEÑA,60,01,00,1,03
6432,1,3,4, ,90,05,00,1,10
6432,1,1,2, ,90,00,30,1,13
6432,1,2,1, ,90,06,00,1,10
6433,1,1,5,LEÑA LEÑA,120,04,00,1,05
6434,1,1,3, ,30,02,00,1,01
6436,1,1,4, ,120,06,00,1,08
6436,1,2,4, ,190,06,00,1,08
6437,1,1,4, ,90,03,00,1,05
6437,1,2,4, ,90,03,00,1,05
6438,1,1,5,EQUIPO DE AIRE CENTRAL,120,01,00,1,15
6439,1,1,5,EQUIPO DE AIRE CENTRAL,90,01,00,1,10
6440,1,1,4, ,120,04,00,1,05
6440,1,2,4, ,120,05,00,1,05
6440,1,3,4, ,120,05,00,1,05
6442,1,1,5,EQUIPO CENTRAL,90,01,30,1,15
6444,1,1,5,CENTRAL DE 80000 BTU,75,08,00,1,12
6445,1,1,4, ,90,01,00,1,10
6445,1,2,4, ,90,02,00,1,10
6446,1,1,5,CALEFACCION SUBTERRANEA,30,02,00,1,02
6447,1,1,5,SISTEMA DE BAPOR QUE CORRE POR TUBERIAS POR EL PISO Y SALE POR RENDIJAS ESPECIALES,30,00,30,1,01
6448,1,1,4, ,90,04,00,1,15
6448,1,2,4, ,60,02,00,1,15
6451,1,1,4, ,90,04,00,1,01
6452,1,1,2, ,90,04,00,1,03
6452,1,2,4, ,90,03,00,1,09
6456,1,1,2, ,90,03,00,1,01
6458,1,2,5,MINI SPLIT,50,04,00,1,03
6458,1,1,4, ,80,03,00,1,05
6459,1,1,4, ,60,08,00,1,01
6459,1,2,4, ,60,08,00,2,06
6461,1,1,4, ,90,03,00,1,10
6462,1,2,5,CENTRAL,2,00,20,2,08
6462,1,1,4, ,45,00,45,1,04
6463,1,1,5,CALEFACCION CENTRAL,90,06,00,2,99
6464,1,1,4, ,60,04,00,1,03
6465,1,1,4, ,90,02,00,1,10
6466,1,1,4, ,30,04,00,1,03
6466,1,2,4, ,60,05,00,1,06
6467,1,1,4, ,60,02,00,1,01
6472,1,1,4, ,120,05,00,1,08
6472,1,2,1, ,90,00,30,1,01
6473,1,1,4, ,60,04,00,1,03
6474,1,1,4, ,75,10,00,1,05
6477,1,1,4, ,50,04,00,1,08
6477,1,2,3, ,50,06,00,2,03
6479,1,1,4, ,60,03,00,1,04
6480,1,1,4, ,60,07,00,1,02
6484,1,1,2, ,90,03,00,2,03
6487,1,1,5,CALENTON DE LEÑA,60,05,00,1,05
6488,1,1,4, ,90,04,00,1,15
6493,1,1,5,DE LE?A,90,02,00,2,20
6494,1,1,4, ,3,00,30,1,05
6496,1,1,5,CALENTON DE LE?A,60,01,00,1,99
6497,1,2,4, ,115,01,30,1,02
6497,1,1,4, ,115,01,00,1,01
6502,1,1,5,CALENTON DE LEÑA,30,02,00,2,08
6503,1,1,5,USA UN CALENTON DE LEÑA HECHO A BASE DE RINES AUTOMOTRICES,90,05,00,1,01
6504,1,1,5,CALENTON QUE USA COMO COMBUSTIBLE  LEÑA,120,12,00,1,30
6505,1,1,5,CALENTON DE LEÑA,30,04,00,1,01
6510,1,1,1, ,120,08,00,2,02
6511,1,1,4, ,60,02,00,1,01
6512,1,1,4, ,60,03,00,1,02
6513,1,1,4, ,90,05,00,1,01
6514,1,1,2, ,60,09,00,1,01
6515,1,1,4, ,30,04,00,2,01
6516,1,1,4, ,90,04,00,2,05
6517,1,1,4, ,60,02,00,1,04
6524,1,1,4, ,120,08,00,1,05
6525,1,1,4, ,120,03,00,2,02
6526,1,1,4, ,90,06,00,1,06
6527,1,1,1, ,90,06,00,1,05
6528,1,2,2, ,90,06,00,1,05
6528,1,1,2, ,90,02,00,1,05
6529,1,1,5,CALENTON DE LE?A,120,06,00,1,06
6530,1,1,5,CALENTON DE LE?A,90,02,00,1,01
6531,1,1,1, ,90,24,00,1,06
6531,1,2,4, ,90,04,00,1,02
6532,1,1,5,CENTRAL,120,12,00,2,03
6534,1,1,4, ,120,03,00,2,15
6536,1,1,5,CALEFACCION CENTRAL FUNCIONA A GAS Y ELECTRICIDAD,90,08,00,2,01
6538,1,1,5,CALEFACCION CENTRAL,12,01,00,1,05
6540,1,1,4, ,90,24,00,1,67
6540,1,2,4, ,90,01,00,2,08
6541,1,1,4, ,150,05,00,1,10
6542,1,1,5,PAQUETE DE EQUIPO CENTRAL,180,01,30,1,04
6543,1,3,5,EQUIPO DE CALEFACION CENTRAL,12,00,40,2,02
6543,1,1,2, ,20,00,30,1,08
6543,1,2,4, ,45,01,30,1,12
6544,1,2,3, ,110,05,00,1,01
6544,1,1,4, ,110,08,00,1,06
6545,1,1,1, ,120,04,00,1,02
6545,1,2,2, ,120,03,00,2,03
6545,1,3,3, ,12,02,00,1,02
6546,1,1,5,CALENTON DE LE?A,90,09,00,1,01
6547,1,1,4, ,60,06,00,1,01
6548,1,1,4, ,60,03,00,1,01
6548,1,2,4, ,60,04,00,1,01
6549,1,1,4, ,90,04,00,1,15
6554,1,1,2, ,120,02,00,2,04
6554,1,2,3, ,10,03,00,1,01
6557,1,1,4, ,10,03,00,2,10
6558,1,1,5,EQUIPO DE AIRE CENTRAL,120,04,00,1,14
6559,1,2,5,EQUIPO DE AIRE CENTRAL,90,01,00,2,04
6559,1,1,4, ,90,02,30,1,02
6560,1,1,4, ,90,04,00,1,05
6561,1,1,4, ,90,06,00,1,01
6563,1,1,5,EQUIPO CENTRAL,90,02,00,1,15
6564,1,1,4, ,60,03,00,1,07
6569,1,3,4, ,180,06,00,1,08
6569,1,1,4, ,180,06,00,1,24
6569,1,2,4, ,180,06,00,1,24
6571,1,2,4, ,30,02,00,1,04
6571,1,1,2, ,10,01,30,1,02
6573,1,1,1, ,120,07,00,2,99
6574,1,1,3, ,135,05,00,1,01
6576,1,1,2, ,120,08,00,1,04
6576,1,2,4, ,150,12,00,1,03
6578,1,1,4, ,60,03,00,1,12
6579,1,1,4, ,80,04,00,1,05
6580,1,1,4, ,90,08,00,1,05
6584,1,1,4, ,60,14,00,1,04
6585,1,1,4, ,135,04,00,1,03
6586,1,1,4, ,90,11,00,1,10
6589,1,2,4, ,30,01,00,1,05
6589,1,1,4, ,60,03,00,1,05
6590,1,3,4, ,150,06,00,1,04
6590,1,2,4, ,150,03,00,1,04
6590,1,1,4, ,150,13,00,1,03
6591,1,1,5,CALEFACCION CENTRAL,75,04,00,2,99
6592,1,2,4, ,90,02,00,1,02
6592,1,1,4, ,90,03,00,1,02
6593,1,1,5,CALEFACCION CENTRAL,60,06,00,1,02
6594,1,1,5,CALEFACCION CENTRAL,120,08,00,1,10
6595,1,1,5,CALEFACCION CENTRAL,90,02,00,2,02
6596,1,1,5,EQUIPO CENTRAL,120,10,00,1,10
6596,1,2,4, ,120,07,00,1,05
6597,1,1,4, ,75,02,00,2,05
6605,1,1,5,CALENTON DE LEÑA,120,03,00,2,08
6606,1,1,5,CALENTON DE LEÑA,96,06,00,1,04
6606,1,2,4, ,96,04,00,1,12
6607,1,1,5,CALENTON DE LEÑA,60,02,00,2,02
6608,1,2,2, ,30,01,00,1,10
6608,1,1,2, ,30,00,15,1,10
6611,1,1,4, ,60,02,00,2,10
6613,1,1,5,CALENT0OJ DE LE?A,60,12,00,1,04
6614,1,1,4, ,90,12,00,1,03
6616,1,1,4, ,90,03,00,2,01
6617,1,1,4, ,150,10,00,1,03
6618,1,1,4, ,90,03,00,1,02
6619,1,1,4, ,90,08,00,1,02
6621,1,2,2, ,120,04,00,1,04
6621,1,1,2, ,120,02,00,1,04
6622,1,1,4, ,45,15,00,1,08
6623,1,1,5,EQUIPO CENTRAL,70,05,00,1,08
6624,1,1,2, ,90,02,00,1,05
6633,1,1,4, ,75,05,00,1,06
6634,1,1,4, ,60,02,00,1,12
6634,1,2,5,CHIMENEA,60,04,00,1,05
6635,1,1,4, ,60,03,00,2,10
6636,1,2,4, ,90,08,00,1,06
6636,1,1,4, ,90,06,00,1,04
6641,1,1,4, ,90,05,00,1,02
6641,1,2,4, ,90,05,00,1,10
6642,1,1,4, ,120,08,00,1,02
6642,1,2,4, ,120,08,00,1,02
6644,1,1,4, ,10,00,20,1,02
6646,1,1,4, ,60,03,00,1,01
6647,1,1,4, ,90,08,00,1,02
6649,1,1,4, ,90,02,00,2,01
6653,1,1,5,CALENTON DE LE?A,45,02,00,2,99
6654,1,1,4, ,30,01,00,1,02
6656,1,1,4, ,60,08,00,1,10
6657,1,1,4, ,120,08,00,1,10
6658,1,1,4, ,120,03,30,1,06
6659,1,1,2, ,105,08,00,1,01
6660,1,1,5,CHIMENEA,120,04,00,1,30
6664,1,1,4, ,90,02,00,1,05
6665,1,1,5,CALENTON DE LE?A,16,02,00,1,03
6666,1,1,4, ,120,02,00,1,08
6667,1,1,4, ,60,03,00,1,04
6668,1,2,5,CALENTON DE LE?A,120,02,00,1,03
6668,1,1,4, ,120,00,15,1,05
6669,1,2,4, ,90,04,00,1,05
6669,1,1,4, ,90,04,00,1,01
6671,1,1,4, ,120,06,00,2,02
6672,1,1,4, ,120,00,30,1,07
6674,1,1,4, ,60,05,00,1,20
6675,1,1,4, ,90,08,00,1,04
6679,1,1,4, ,90,03,00,1,05
6681,1,1,2, ,90,06,00,1,01
6682,1,2,4, ,90,08,00,1,03
6682,1,1,4, ,90,10,00,1,03
6683,1,1,5,CALENTON DE LEÑA,90,04,00,1,07
6685,1,1,2, ,120,04,00,2,01
6688,1,1,5,CALEFACION CENTRAL,30,07,00,2,12
6689,1,1,5,CALEFACCION CENTRAL,3,02,00,1,18
6690,1,1,4, ,60,04,00,1,25
6691,1,1,4, ,130,03,00,1,04
6692,1,1,4, ,10,04,30,2,10
6693,1,1,4, ,45,04,00,1,01
6694,1,1,2, ,60,03,00,2,99
6696,1,1,4, ,30,02,00,1,02
6698,1,1,2, ,150,03,00,2,01
6700,1,1,4, ,90,03,00,2,03
6703,1,1,4, ,60,01,30,1,03
6704,1,1,4, ,50,03,00,1,09
6706,1,2,4, ,90,02,00,2,01
6706,1,1,2, ,90,00,30,2,01
6707,1,1,4, ,90,03,00,1,04
6708,1,1,4, ,90,04,00,1,04
6709,1,1,5,CALEFACCION CNETRAL,120,04,00,1,17
6710,1,1,4, ,60,05,00,1,08
6710,1,2,4, ,15,00,30,1,05
6711,1,1,5,CALEFACCION CENTRAL,60,05,00,2,99
6711,1,2,4, ,30,06,00,1,04
6712,1,1,4, ,80,03,00,1,05
6713,1,1,4, ,150,02,00,2,01
6715,1,1,4, ,80,03,00,1,12
6717,1,1,4, ,30,06,00,1,03
6718,1,1,4, ,150,14,00,1,15
6718,1,2,4, ,80,02,00,1,15
6719,1,1,4, ,120,03,00,1,06
6720,1,1,5,EQUIPO DE CALEFACCION CENTRAL,90,12,00,1,04
6723,1,1,4, ,60,05,00,1,05
6728,1,1,4, ,90,02,30,1,03
6729,1,1,5,CALEFACCION,90,03,00,2,99
6730,1,1,2, ,60,03,00,1,02
6731,1,1,4, ,90,02,00,1,01
6732,1,1,4, ,30,05,00,1,06
6733,1,1,4, ,60,04,00,1,01
6733,1,2,4, ,90,06,00,2,99
6734,1,1,4, ,120,06,00,1,01
6735,1,1,4, ,45,02,00,1,05
6736,1,1,5,CALENTON DE LE?A,15,03,00,1,02
6737,1,1,4, ,1,05,00,1,03
6739,1,1,4, ,90,05,00,1,06
6740,1,1,2, ,90,05,00,1,01
6741,1,1,4, ,60,02,00,1,08
6742,1,1,1, ,60,10,00,2,07
6744,1,1,4, ,30,20,00,1,10
6746,1,1,4, ,120,05,00,1,01
6748,1,1,4, ,120,03,00,1,12
6749,1,1,4, ,160,03,00,1,01
6751,1,1,5,CHIMENEA DE LE?A,60,04,00,1,08
6752,1,2,2, ,90,04,00,2,05
6752,1,1,4, ,90,04,00,1,05
6756,1,1,2, ,60,02,00,1,02
6757,1,1,5,CALENTON DE LEÑA,80,04,00,2,15
6759,1,1,5,CALENTON DE LE?A,120,05,00,2,01
6760,1,1,2, ,60,01,00,2,02
6762,1,1,4, ,60,02,00,2,10
6763,1,1,4, ,120,05,00,1,01
6765,1,1,4, ,60,07,00,2,02
6773,1,1,5,CALEFACCION CENTRAL,90,24,00,1,15
6774,1,1,2, ,90,02,00,2,99
6775,1,1,4, ,120,02,00,2,10
6776,1,1,5,CALENTON DE LE?A,90,04,00,2,02
6781,1,1,2, ,60,05,00,2,01
6784,1,1,4, ,90,06,00,1,10
6784,1,2,4, ,90,06,00,1,06
6788,1,1,5,CALENTON DE LE?A,60,04,00,2,04
6789,1,1,5,CALENTON DE LEÑA,60,01,00,1,01
6790,1,1,2, ,105,02,00,1,04
6790,1,2,5,CALENTON DE LE?A,60,15,00,1,04
6792,1,1,2, ,120,03,00,2,03
6793,1,1,5,CALENTON DE LE?A,60,04,00,1,03
6799,1,1,1, ,60,02,00,1,01
6802,1,1,4, ,45,06,00,1,01
6803,1,1,2, ,180,04,00,2,02
6804,1,1,5,CHIMENEA DE LE?A,120,04,00,1,07
6806,1,1,1, ,30,01,00,1,01
6807,1,1,4, ,90,05,00,1,09
6808,1,1,3, ,90,05,00,1,03
6811,1,1,5,LE?A CALENTON,60,06,00,1,02
6812,1,1,5,MINISPLIT,30,01,00,1,01
6813,1,1,4, ,120,03,00,2,02
6813,1,2,4, ,120,03,00,2,01
6814,1,1,2, ,30,02,00,1,01
6815,1,1,4, ,60,02,00,2,08
6817,1,2,5,CALEWNTON DE LE?A,120,08,00,1,02
6817,1,1,3, ,120,01,00,1,02
6818,1,1,2, ,60,10,00,1,01
6819,1,1,5,CALEFACCION CENTRAL,90,01,00,1,08
6820,1,1,4, ,90,05,00,1,02
6821,1,1,5,EQIPO CENTRAL,120,03,00,1,01
6822,1,1,5,EQUIPO DE CALEFACCION CENTRAL,160,08,00,2,02
6826,1,1,4, ,90,02,00,1,05
6827,1,1,4, ,60,02,00,1,03
6827,1,2,1, ,120,12,00,1,12
6830,1,1,4, ,60,05,00,1,01
6830,1,2,2, ,30,06,00,1,02
6831,1,2,2, ,60,06,00,1,01
6831,1,1,4, ,90,06,00,2,03
6832,1,1,4, ,120,07,00,1,06
6835,1,1,4, ,120,05,00,1,06
6836,1,1,2, ,75,01,00,1,03
6837,1,1,5,CALEFACCION CENTRAL,90,04,00,1,08
6838,1,1,5,EQUIPO CENTRAL,120,05,00,2,05
6839,1,1,4, ,120,03,00,2,07
6841,1,1,4, ,8,04,00,1,09
6842,1,1,5,MINISPLIT,90,01,00,1,01
6843,1,1,4, ,60,03,00,1,01
6846,1,1,4, ,45,03,00,1,15
6846,1,2,5,CHIMENEA DE LE?A,60,10,00,1,32
6847,1,1,5,CALENTON DE LE?A,15,02,00,1,20
6849,1,1,5,MINISPLIT INVERTER,2,03,00,1,10
6854,1,1,5,CALENTON DE LE?A,45,06,00,1,10
6856,1,1,4, ,2,03,00,1,01
6857,1,2,5,MINISPLIT,999,99,99,1,01
6857,1,1,4, ,30,02,00,1,08
6860,1,2,4, ,2,02,00,1,02
6860,1,1,3, ,9,01,00,1,03
6861,1,3,5,MINISPLIT,90,03,00,1,01
6861,1,1,4, ,90,01,00,1,03
6861,1,2,5,MINISPLIT,90,03,00,1,02
6863,1,1,4, ,90,08,00,1,01
6864,1,1,5,CALENTON DE LE?A,60,08,00,1,05
6866,1,1,2, ,30,24,00,1,01
6867,1,1,4, ,60,01,00,1,07
6868,1,1,2, ,45,05,00,1,02
6869,1,1,2, ,60,01,00,2,04
6870,1,2,3, ,90,18,00,1,01
6870,1,1,2, ,120,12,00,1,01
6871,1,1,1, ,60,01,00,2,02
6872,1,1,4, ,180,05,00,1,04
6873,1,1,5,CALENTON LE?A,160,10,00,1,02
6873,1,2,5,CHIMENEA DE LE?A,160,03,00,1,04
6873,1,3,4, ,160,02,00,1,03
6874,1,2,4, ,30,24,00,1,06
6874,1,1,4, ,120,18,00,1,02
6878,1,1,2, ,60,01,30,1,02
6879,1,1,5,CALENTON DE LE?A,90,06,00,1,10
6880,1,2,5,CHIMENEA DE LE?A,10,08,00,1,05
6880,1,1,4, ,4,01,00,1,15
6882,1,1,3, ,60,03,00,1,10
6884,1,1,5,CALENBTON DE LE?A,60,12,00,1,20
6886,1,1,2, ,60,01,30,1,02
6888,1,1,4, ,90,01,00,2,15
6889,1,1,2, ,90,02,00,1,12
6892,1,1,4, ,20,03,00,2,03
6893,1,1,5,CALENTON DE LE?A,4,01,00,2,99
6894,1,1,2, ,40,01,00,2,20
6894,1,2,3, ,90,04,00,1,02
6898,1,1,4, ,120,12,00,1,99
6901,1,1,4, ,90,00,20,1,08
6906,1,1,4, ,30,00,15,1,15
6907,1,1,4, ,60,00,30,1,04
6910,1,1,5,CALENTON DE LE?A,90,03,00,1,21
6911,1,1,5,CALENTON DE LE?A,75,08,00,1,04
6913,1,1,5,CALENTON DE LE?A,90,06,00,1,04
6914,1,1,5,MINIESPLIT,90,12,00,1,06
6916,1,1,5,DE LE?A,60,24,00,1,01
6917,1,1,4, ,30,02,00,2,99
6918,1,1,4, ,120,06,00,1,02
6918,1,2,4, ,120,06,00,1,02
6919,1,1,4, ,75,00,10,1,06
6920,1,1,5,CALENTON DE LE?A,90,12,00,1,20
6921,1,1,5,CALENTON DE LE?A,120,03,00,2,04
6922,1,1,5,CALENTON DE METAL FUNCIONA A BASE DE LE?A,150,04,00,1,04
6923,1,2,5,CALENTON DE LE?A,60,07,00,1,04
6923,1,1,4, ,30,01,00,1,04
6924,1,1,4, ,90,06,00,1,10
6925,1,1,2, ,60,00,30,1,10
6926,1,2,5,CALENTON DE LE?A,150,12,00,1,07
6926,1,1,5,ESTUFA DE LE?A,150,12,00,1,29
6927,1,1,5,CALENTON DE LE?A,120,12,00,2,03
6928,1,1,5,CALENTON DE LE?A,120,02,00,1,02
6930,1,1,5,CALENTON DE LE?A,180,03,00,1,01
6931,1,2,5,CALENTON DE LE?A,180,02,00,1,06
6931,1,1,5,CALENTON DE L?A,180,01,00,1,06
6932,1,1,5,CALENTON DE LE?A,120,06,00,1,01
6934,1,2,4, ,150,04,00,1,05
6934,1,1,4, ,150,08,00,1,01
6935,1,1,4, ,90,04,00,1,01
6936,1,1,5,CALENTON DE LE?A,90,02,00,1,99
6939,1,1,5,CALEFACTOR DE LEÑA,180,10,00,1,01
6941,1,1,5,CALENTON DE LE?A,90,02,30,1,01
6942,1,1,5,CALENTON DE LE?A,150,01,30,1,08
6948,1,1,5,CALENTON DE LE?A,60,12,00,2,04
6953,1,1,4, ,60,02,00,1,05
6956,1,1,4, ,60,03,00,1,01
6957,1,1,5,CALENTON DE LE?A,30,01,00,2,99
6958,1,1,5,CALENTPON DE LE?LA,60,03,00,2,05
6964,1,1,5,CALENTON DE LEÑA,90,02,00,1,15
6965,1,1,5,CALENTON DE LEÑA,120,99,99,2,99
6966,1,1,5,CALENTONN DE LEÑA,120,10,00,1,04
6967,1,1,4, ,90,06,00,1,30
6968,1,1,4, ,150,08,00,1,10
6969,1,1,4, ,120,12,00,1,06
6970,1,1,5,CALENTON DE LEÑA,60,04,00,1,10
6971,1,1,5,CALENTON DE DIESEL,100,06,00,2,10
6972,1,1,4, ,120,04,00,1,07
6973,1,1,4, ,150,06,00,1,09
6975,1,1,5,CALENTON DE LEÑA,120,02,00,1,04
6976,1,1,5,CALENTON DE LEÑA,150,12,00,1,03
6977,1,1,4, ,120,01,00,1,15
6978,1,1,4, ,120,24,00,1,04
6979,1,1,4, ,120,03,00,1,07
6989,1,1,3, ,120,10,00,1,07
7000,1,1,5,CALENTON DE LEÑA,30,06,00,2,01
7002,1,1,4, ,45,02,00,1,10
7003,1,1,5,CALENTON DE LEÑA,20,03,00,1,07
7009,1,1,5,CHIMENEA DE LEÑA,120,12,00,1,05
7026,1,1,5,CALENTON DE LEÑA,365,04,00,1,07
7036,1,1,5,CALENTON DE LEÑA,60,04,00,2,03
7037,1,1,5,CALENTON DE LEÑA,90,12,00,1,03
7042,1,1,5,CALENTON DE LEÑA,365,08,00,2,07
7045,1,1,2, ,90,04,00,1,01
7047,1,1,5,ESTUFA DE LEÑA LA USA COMO CALEFACTOR EN INVIERNO,120,01,00,2,04
7048,1,1,5,CALENTON DE LEÑA,120,02,00,1,10
7051,1,1,5,ESTUFA DE LEÑA LA UTILIZAN PARA CALENTARSE,120,24,00,1,05
7054,1,1,5,CALENTON DE LENA,60,08,00,2,01
7055,1,1,5,CALENTON DE LEÑA,180,02,30,1,04
7056,1,1,5,CALENTON DE LEÑA,30,04,00,1,04
7060,1,1,2, ,90,04,00,1,05
7062,1,1,5,ESTUFA DE LEÑA LA USAN COMO CALEFACTOR,60,05,00,2,20
7065,1,1,2, ,90,05,00,2,03
7070,1,1,2, ,60,00,10,1,05
7072,1,1,5,CALENTON DE LE?A,180,06,00,2,02
7077,1,1,2, ,120,03,00,2,01
7078,1,1,2, ,30,04,00,1,04
7079,1,1,5,ESTUFA DE LE?A ?A USAN COMO CALEFACTOR,60,10,00,2,03
7080,1,1,4, ,30,02,00,1,01
7081,1,1,5,CALENTON DE LE?A,120,03,00,1,09
7122,1,2,1, ,30,02,00,1,30
7122,1,1,1, ,30,02,00,1,30
7154,1,2,2, ,15,08,00,2,02
7154,1,1,2, ,15,08,00,1,02
7184,1,1,3, ,15,08,00,1,03
7186,1,1,3, ,30,04,00,1,04
7189,1,1,3, ,15,02,00,1,02
7298,1,1,2, ,15,03,00,2,12
7303,1,1,5,DIGITAL,30,02,00,1,01
7376,1,1,1, ,8,08,00,1,10
7381,1,1,3, ,30,02,00,1,01
7384,1,1,2, ,60,03,00,1,10
7410,1,1,1, ,20,03,00,1,03
7413,1,1,1, ,5,01,00,1,04
7436,1,1,1, ,30,01,00,1,06
7542,1,1,2, ,30,08,00,2,10
7551,1,1,2, ,5,00,40,1,01
7572,1,1,2, ,5,04,00,2,08
7573,1,1,1, ,999,12,00,1,05
7573,1,2,1, ,90,05,00,1,08
7592,1,1,1, ,10,05,00,1,05
7595,1,1,1, ,90,02,00,1,03
7597,1,1,2, ,15,01,00,1,03
7597,1,2,2, ,15,00,30,1,03
7607,1,1,2, ,40,02,00,2,05
7654,1,1,3, ,60,05,00,1,02
7662,1,1,3, ,30,02,00,2,01
7701,1,1,1, ,60,03,00,1,01
7712,1,1,1, ,90,12,00,1,03
7737,1,1,1, ,60,04,00,1,10
7782,1,1,3, ,30,00,30,2,01
7783,1,1,1, ,30,05,00,1,01
7796,1,1,4, ,15,00,30,1,05
7815,1,1,1, ,30,05,00,1,01
7815,1,2,1, ,20,05,00,1,01
7832,1,1,3, ,30,04,00,1,12
7833,1,1,2, ,30,03,00,1,02
7839,1,1,1, ,60,04,00,2,06
